total_packets,outgoing_packets,incoming_packets,packet_ratio,unique_destinations,dest_diversity_ratio,protocol_diversity,tcp_packets,udp_packets,icmp_packets,avg_time_between_packets,std_time_between_packets,min_time_between_packets,rapid_packets,unique_ports,port_range,sequential_ports,common_ports,avg_packet_size,std_packet_size,small_packets,response_ratio,no_response_ratio,window_id,packet_position,is_scan,scan_score,rf_prediction,rf_probability,svm_prediction,svm_probability
1000,57,59,0.9661016949152542,6,0.10526315789473684,4,25,0,0,1,0,1,57,0,0,0,0,424.35087719298247,517.2348006200193,28,1.0350877192982457,0.0,37,37000,1,8,1,0.93,1,0.608383720226873
1000,345,64,5.390625,14,0.04057971014492753,6,320,0,0,1,0,1,345,0,0,0,0,77.26666666666667,125.52162635247578,325,0.1855072463768116,0.8144927536231884,38,38000,1,11,1,0.98,1,0.9931834228189189
1000,991,7,141.57142857142858,1,0.0010090817356205853,1,991,0,0,1,0,1,991,0,0,0,0,58.0,0.0,991,0.007063572149344097,0.992936427850656,39,39000,1,8,1,0.98,1,0.9611909213159557
1000,758,68,11.147058823529411,7,0.009234828496042216,6,728,0,0,1,0,1,758,1,0,0,0,65.39709762532982,59.259025182172174,737,0.08970976253298153,0.9102902374670184,40,40000,1,12,1,0.98,1,0.961190921900722
1000,358,40,8.95,12,0.0335195530726257,12,9,314,0,1,0,1,358,0,0,0,0,62.365921787709496,52.91076638613444,331,0.11173184357541899,0.888268156424581,41,41000,1,11,1,0.98,1,0.9611517780677721
1000,13,3,4.333333333333333,1,0.07692307692307693,2,0,11,0,1,0,1,13,0,0,0,0,51.69230769230769,21.7193639232545,12,0.23076923076923078,0.7692307692307693,42,42000,0,4,0,0.04,0,0.13275522447450533
1000,107,21,5.095238095238095,4,0.037383177570093455,4,8,93,0,1,0,1,107,0,0,0,0,82.49532710280374,176.5217060698403,96,0.19626168224299065,0.8037383177570093,43,43000,1,8,1,0.9,1,0.9611998186255456
1000,59,32,1.84375,6,0.1016949152542373,4,23,22,0,1,0,1,59,0,0,0,0,380.49152542372883,561.1381098938293,36,0.5423728813559322,0.4576271186440678,44,44000,1,8,1,0.99,1,0.8997176358907607
1000,193,144,1.3402777777777777,7,0.03626943005181347,5,137,12,0,1,0,1,193,0,0,0,0,951.7357512953367,666.8850847539411,50,0.7461139896373057,0.2538860103626943,45,45000,1,8,1,0.91,1,0.9660433522212778
1000,328,553,0.593128390596745,12,0.036585365853658534,4,36,17,0,1,0,1,328,0,0,0,0,366.7774390243902,507.7430625753752,203,1.6859756097560976,0.0,46,46000,1,8,1,1.0,1,0.985071518389905
1000,232,625,0.3712,8,0.034482758620689655,5,24,7,0,1,0,1,232,0,0,0,0,217.7155172413793,349.48291564767715,93,2.6939655172413794,0.0,47,47000,1,8,1,0.97,1,0.9612275510871782
1000,195,229,0.851528384279476,10,0.05128205128205128,4,36,12,0,1,0,1,195,0,0,0,0,704.1846153846154,587.4887467834129,57,1.1743589743589744,0.0,48,48000,1,8,1,0.9,1,0.9837909155208683
1000,213,171,1.2456140350877194,16,0.07511737089201878,8,71,17,0,1,0,1,213,0,0,0,0,398.36150234741785,523.6081872869815,127,0.8028169014084507,0.19718309859154928,49,49000,1,8,1,1.0,1,0.9999995961536308
1000,268,467,0.5738758029978587,12,0.04477611940298507,5,59,5,0,1,0,1,268,0,0,0,0,420.4738805970149,523.8302996542113,155,1.742537313432836,0.0,50,50000,1,8,1,1.0,1,0.9920890971479255
1000,337,641,0.5257410296411856,8,0.02373887240356083,5,9,6,0,1,0,1,337,0,0,0,0,277.9614243323442,400.47061042854676,166,1.9020771513353116,0.0,51,51000,1,8,1,0.98,1,0.9708722997446516
1000,264,494,0.5344129554655871,11,0.041666666666666664,5,26,9,0,1,0,1,264,0,0,0,0,427.155303030303,519.4229198886118,120,1.871212121212121,0.0,52,52000,1,8,1,0.98,1,0.988439905627575
1000,312,556,0.5611510791366906,11,0.035256410256410256,6,88,15,0,1,0,1,312,0,0,0,0,293.9326923076923,437.55048798819644,187,1.7820512820512822,0.0,53,53000,1,8,1,1.0,1,0.987036569015028
1000,317,494,0.6417004048582996,23,0.07255520504731862,6,131,8,0,1,0,1,317,0,0,0,0,381.62145110410097,520.2746614393808,195,1.5583596214511042,0.0,54,54000,1,8,1,1.0,1,0.9947785610617069
1000,150,214,0.7009345794392523,15,0.1,5,46,9,0,1,0,1,150,0,0,0,0,445.14666666666665,554.4100242499358,83,1.4266666666666667,0.0,55,55000,1,8,1,1.0,1,0.9999905828051203
1000,169,182,0.9285714285714286,17,0.10059171597633136,7,51,25,0,1,0,1,169,0,0,0,0,295.68639053254435,437.4610620679109,112,1.0769230769230769,0.0,56,56000,1,8,1,1.0,1,0.9999989418951198
1000,183,125,1.464,21,0.11475409836065574,9,67,50,0,1,0,1,183,0,0,0,0,320.3333333333333,483.1683588602042,117,0.6830601092896175,0.31693989071038253,57,57000,1,8,1,1.0,1,0.9999987274560007
1000,176,335,0.5253731343283582,9,0.05113636363636364,6,61,7,0,1,0,1,176,0,0,0,0,398.1761363636364,518.0658289102028,104,1.9034090909090908,0.0,58,58000,1,8,1,1.0,1,0.988922384312711
1000,78,99,0.7878787878787878,9,0.11538461538461539,4,28,9,0,1,0,1,78,0,0,0,0,403.8333333333333,533.1198158906102,50,1.2692307692307692,0.0,59,59000,1,8,1,0.86,1,0.9219845300899654
1000,52,46,1.1304347826086956,7,0.1346153846153846,7,17,13,0,1,0,1,52,0,0,0,0,331.2307692307692,492.9810327411532,30,0.8846153846153846,0.11538461538461539,60,60000,1,8,1,0.96,1,0.9612224513031942
1000,226,643,0.3514774494556765,8,0.035398230088495575,5,34,10,0,1,0,1,226,0,0,0,0,471.3141592920354,562.4291153151471,134,2.8451327433628317,0.0,61,61000,1,8,1,1.0,1,0.9612429360338767
1000,424,483,0.8778467908902692,4,0.009433962264150943,5,11,23,0,1,0,1,424,0,0,0,0,751.438679245283,579.9778026356048,137,1.1391509433962264,0.0,62,62000,0,5,1,0.66,1,0.9465008729394491
1000,383,419,0.9140811455847255,12,0.031331592689295036,7,47,84,0,1,0,1,383,0,0,0,0,365.0104438642298,501.6813509600605,229,1.0939947780678851,0.0,63,63000,1,8,1,1.0,1,0.987687166485028
1000,475,318,1.4937106918238994,12,0.02526315789473684,8,40,110,0,1,0,1,475,1,0,0,0,404.73052631578946,523.4282792490819,263,0.6694736842105263,0.33052631578947367,64,64000,1,8,1,1.0,1,0.9612179748941609
1000,409,282,1.450354609929078,8,0.019559902200488997,8,25,86,0,1,0,1,409,0,0,0,0,451.46943765281173,546.0817827046503,228,0.6894865525672371,0.3105134474327628,65,65000,1,8,1,0.99,1,0.9888249847752069
1000,309,223,1.3856502242152466,9,0.02912621359223301,10,28,53,0,1,0,1,309,0,0,0,0,468.65695792880257,556.0193681736476,167,0.7216828478964401,0.2783171521035599,66,66000,1,8,1,0.99,1,0.9951617001660858
1000,402,286,1.4055944055944056,14,0.03482587064676617,10,40,103,0,1,0,1,402,1,0,0,0,386.86567164179104,515.0416314826123,239,0.7114427860696517,0.2885572139303483,67,67000,1,8,1,1.0,1,0.9612180140575465
1000,316,175,1.8057142857142856,13,0.04113924050632911,10,38,149,0,1,0,1,316,0,0,0,0,187.97784810126583,349.9717033683284,226,0.5537974683544303,0.4462025316455696,68,68000,1,8,1,1.0,1,0.9697627021833047
1000,159,90,1.7666666666666666,7,0.0440251572327044,6,30,80,0,1,0,1,159,0,0,0,0,125.25157232704403,216.8585541622348,116,0.5660377358490566,0.4339622641509434,69,69000,1,8,1,0.97,1,0.9835417701046113
1000,250,154,1.6233766233766234,15,0.06,12,107,52,0,1,0,1,250,1,0,0,0,441.628,590.6330223449561,141,0.616,0.384,70,70000,1,8,1,0.99,1,0.9620093806777764
